id,name,created_at,modified_at
558,Orangetraube,4/1/2018,4/1/2018
559,Riesling-Chardonnay,4/1/2018,4/1/2018
560,Žilavka,4/1/2018,4/1/2018
561,Portuguiser,4/1/2018,4/1/2018
562,Listán Negro,4/1/2018,4/1/2018
563,Pinotage-Merlot,4/1/2018,4/1/2018
564,Muscadine,4/1/2018,4/1/2018
565,Maria Gomes-Bical,4/1/2018,4/1/2018
566,Grolleau,4/1/2018,4/1/2018
567,Zlahtina,4/1/2018,4/1/2018
568,Syrah-Grenache-Viognier,4/1/2018,4/1/2018
569,Jacquez,4/1/2018,4/1/2018
570,Gouveio,4/1/2018,4/1/2018
571,Canaiolo,4/1/2018,4/1/2018
